Date,Open,High,Low,Close,Adj Close,Volume
2005-09-29,9080.000000,9280.000000,9000.000000,9060.000000,0.000037,4472150
2005-09-30,9080.000000,9200.000000,8920.000000,9080.000000,0.000037,1897950
2005-10-03,null,null,null,null,null,null
2005-10-04,9070.000000,9290.000000,9070.000000,9160.000000,0.000037,3475500
2005-10-05,9290.000000,9430.000000,9160.000000,9230.000000,0.000038,3276650
2005-10-06,9100.000000,9160.000000,8930.000000,9010.000000,0.000037,3794000
2005-10-07,8840.000000,8940.000000,8770.000000,8900.000000,0.000036,2334000
2005-10-10,8920.000000,9030.000000,8890.000000,8960.000000,0.000036,2535850
2005-10-11,8950.000000,9060.000000,8910.000000,8980.000000,0.000037,1139400
2005-10-12,8860.000000,9000.000000,8670.000000,8700.000000,0.000035,1773150
2005-10-13,8600.000000,8680.000000,8480.000000,8500.000000,0.000035,2449050
2005-10-14,8560.000000,8610.000000,8410.000000,8470.000000,0.000035,2158050
2005-10-17,null,null,null,null,null,null
2005-10-18,8400.000000,8500.000000,8390.000000,8480.000000,0.000035,1571250
2005-10-19,8410.000000,8470.000000,8220.000000,8250.000000,0.000034,1670450
2005-10-20,8290.000000,8310.000000,8200.000000,8260.000000,0.000034,4020100
2005-10-21,8170.000000,8420.000000,8170.000000,8400.000000,0.000034,1930950
2005-10-24,8540.000000,8620.000000,8440.000000,8490.000000,0.000035,2837700
2005-10-25,8570.000000,8670.000000,8440.000000,8440.000000,0.000034,1877850
2005-10-26,8480.000000,8570.000000,8440.000000,8500.000000,0.000035,1067250
2005-10-27,8500.000000,8630.000000,8450.000000,8560.000000,0.000035,1408250
2005-10-28,8470.000000,8490.000000,8290.000000,8370.000000,0.000034,1659450
2005-10-31,8430.000000,8500.000000,8400.000000,8500.000000,0.000035,1274850
2005-11-01,8510.000000,8620.000000,8500.000000,8530.000000,0.000035,1847350
2005-11-02,8560.000000,8640.000000,8520.000000,8620.000000,0.000035,1230750
2005-11-03,8710.000000,8880.000000,8710.000000,8800.000000,0.000036,1267100
2005-11-04,9000.000000,9060.000000,8910.000000,8930.000000,0.000036,2125450
2005-11-07,9060.000000,9090.000000,8790.000000,9020.000000,0.000037,1672250
2005-11-08,8980.000000,9200.000000,8980.000000,9120.000000,0.000037,2422450
2005-11-09,9120.000000,9160.000000,9040.000000,9050.000000,0.000037,1873150
2005-11-10,9060.000000,9070.000000,9020.000000,9070.000000,0.000037,1157150
2005-11-11,9190.000000,9270.000000,9150.000000,9260.000000,0.000038,1430050
2005-11-14,9380.000000,9440.000000,9280.000000,9350.000000,0.000038,1423950
2005-11-15,9260.000000,9340.000000,9100.000000,9240.000000,0.000038,1482600
2005-11-16,9130.000000,9350.000000,9130.000000,9320.000000,0.000038,1976600
2005-11-17,9280.000000,9320.000000,9170.000000,9270.000000,0.000038,1468900
2005-11-18,9430.000000,9440.000000,9330.000000,9410.000000,0.000038,2335000
2005-11-21,9460.000000,9470.000000,9200.000000,9400.000000,0.000038,1160800
2005-11-22,9220.000000,9320.000000,8830.000000,8900.000000,0.000036,3247200
2005-11-23,9000.000000,9160.000000,9000.000000,9120.000000,0.000037,2292350
2005-11-24,9200.000000,9200.000000,9040.000000,9040.000000,0.000037,1211800
2005-11-25,9070.000000,9080.000000,8820.000000,8880.000000,0.000036,1854450
2005-11-28,8940.000000,9010.000000,8860.000000,8940.000000,0.000036,1048300
2005-11-29,8720.000000,8930.000000,8720.000000,8860.000000,0.000036,982900
2005-11-30,8940.000000,9100.000000,8930.000000,9020.000000,0.000037,2636300
2005-12-01,9020.000000,9150.000000,8970.000000,9130.000000,0.000037,1539350
2005-12-02,9240.000000,9320.000000,9200.000000,9300.000000,0.000038,2005200
2005-12-05,9320.000000,9430.000000,9320.000000,9410.000000,0.000038,1146200
2005-12-06,9400.000000,9440.000000,9280.000000,9440.000000,0.000038,960350
2005-12-07,9370.000000,9590.000000,9360.000000,9530.000000,0.000039,2298150
2005-12-08,9530.000000,9660.000000,9470.000000,9500.000000,0.000039,1643400
2005-12-09,9350.000000,9570.000000,9340.000000,9380.000000,0.000038,1048300
2005-12-12,9400.000000,9450.000000,9360.000000,9400.000000,0.000038,1024950
2005-12-13,9470.000000,9520.000000,9340.000000,9400.000000,0.000038,1106200
2005-12-14,9420.000000,9480.000000,9300.000000,9300.000000,0.000038,1328000
2005-12-15,9280.000000,9340.000000,9230.000000,9230.000000,0.000038,1374450
2005-12-16,9100.000000,9230.000000,9090.000000,9140.000000,0.000037,1498550
2005-12-19,9140.000000,9460.000000,9130.000000,9420.000000,0.000038,2905450
2005-12-20,9400.000000,9400.000000,9360.000000,9400.000000,0.000038,1949700
2005-12-21,9480.000000,9600.000000,9440.000000,9540.000000,0.000039,3024500
2005-12-22,null,null,null,null,null,null
2005-12-23,9700.000000,9780.000000,9680.000000,9750.000000,0.000040,2732400
2005-12-26,null,null,null,null,null,null
2005-12-27,9830.000000,9870.000000,9730.000000,9860.000000,0.000040,1274500
2005-12-28,9720.000000,9840.000000,9720.000000,9760.000000,0.000040,517100
2005-12-29,9840.000000,9860.000000,9770.000000,9820.000000,0.000040,1714400
2006-01-02,9830.000000,9850.000000,9770.000000,9820.000000,0.000040,1051050
2006-01-03,9900.000000,9900.000000,9600.000000,9870.000000,0.000040,1261100
2006-01-04,9960.000000,10280.000000,9940.000000,10160.000000,0.000041,3722250
2006-01-05,10040.000000,10120.000000,9920.000000,10000.000000,0.000041,3235100
2006-01-06,10080.000000,10140.000000,10000.000000,10100.000000,0.000041,2010650
2006-01-09,10120.000000,10260.000000,10080.000000,10140.000000,0.000041,707150
2006-01-10,10280.000000,10300.000000,10140.000000,10300.000000,0.000042,1585950
2006-01-11,10200.000000,10320.000000,10140.000000,10160.000000,0.000041,1380200
2006-01-12,10220.000000,10420.000000,10220.000000,10420.000000,0.000042,1583700
2006-01-13,10420.000000,10480.000000,10180.000000,10440.000000,0.000043,1604150
2006-01-16,10580.000000,10780.000000,10480.000000,10760.000000,0.000044,2668000
2006-01-17,10820.000000,11220.000000,10700.000000,10700.000000,0.000044,2278750
2006-01-18,10700.000000,10700.000000,10160.000000,10300.000000,0.000042,2727950
2006-01-19,10300.000000,10520.000000,10300.000000,10460.000000,0.000043,1118600
2006-01-20,10500.000000,10660.000000,10360.000000,10480.000000,0.000043,1181450
2006-01-23,10240.000000,10340.000000,10140.000000,10200.000000,0.000042,2219200
2006-01-24,10160.000000,10300.000000,10140.000000,10300.000000,0.000042,2168100
2006-01-25,10500.000000,10840.000000,10400.000000,10720.000000,0.000044,1975500
2006-01-26,10720.000000,10880.000000,10660.000000,10780.000000,0.000044,1380150
2006-01-27,10900.000000,11060.000000,10740.000000,11000.000000,0.000045,2064450
2006-01-31,11120.000000,11360.000000,11060.000000,11320.000000,0.000046,1293850
2006-02-01,11220.000000,11360.000000,11100.000000,11200.000000,0.000046,2076200
2006-02-02,11260.000000,11320.000000,10840.000000,10940.000000,0.000045,2853700
2006-02-03,10800.000000,10800.000000,10500.000000,10500.000000,0.000043,3473850
2006-02-06,10360.000000,10540.000000,10240.000000,10520.000000,0.000043,2660450
2006-02-07,10520.000000,10680.000000,10460.000000,10460.000000,0.000043,1365250
2006-02-08,10440.000000,10600.000000,10220.000000,10220.000000,0.000042,2906250
2006-02-09,10380.000000,10380.000000,10280.000000,10360.000000,0.000042,1759150
2006-02-10,10360.000000,10400.000000,10200.000000,10280.000000,0.000042,2291250
2006-02-13,10280.000000,10400.000000,10200.000000,10320.000000,0.000042,2428450
2006-02-14,10320.000000,10400.000000,10080.000000,10340.000000,0.000042,2198750
2006-02-15,10320.000000,10400.000000,9940.000000,9940.000000,0.000040,2603650
2006-02-16,10000.000000,10100.000000,9900.000000,10100.000000,0.000041,1960550
2006-02-17,10380.000000,10680.000000,10200.000000,10440.000000,0.000043,2022450
2006-02-20,10800.000000,10940.000000,10640.000000,10800.000000,0.000044,1667350
2006-02-21,11000.000000,11000.000000,10660.000000,10660.000000,0.000043,2416550
2006-02-22,10660.000000,10720.000000,10580.000000,10640.000000,0.000043,1801350
2006-02-23,10900.000000,10900.000000,10720.000000,10780.000000,0.000044,1958850
2006-02-24,10600.000000,10720.000000,10380.000000,10600.000000,0.000043,2778000
2006-02-27,10600.000000,10600.000000,10420.000000,10500.000000,0.000043,1580200
2006-02-28,10560.000000,10620.000000,10400.000000,10400.000000,0.000042,1277000
2006-03-02,10600.000000,10640.000000,10440.000000,10440.000000,0.000043,2611400
2006-03-03,10520.000000,10560.000000,10100.000000,10200.000000,0.000042,2383350
2006-03-06,10140.000000,10240.000000,10080.000000,10240.000000,0.000042,1403600
2006-03-07,10140.000000,10180.000000,9960.000000,9960.000000,0.000041,1626800
2006-03-08,9900.000000,9920.000000,9600.000000,9900.000000,0.000040,5978800
2006-03-09,9840.000000,9940.000000,9720.000000,9820.000000,0.000040,2542800
2006-03-10,9540.000000,9940.000000,9540.000000,9820.000000,0.000040,1944100
2006-03-13,9940.000000,9970.000000,9910.000000,9940.000000,0.000040,1282950
2006-03-14,9960.000000,9980.000000,9900.000000,9960.000000,0.000041,1519550
2006-03-15,10060.000000,10080.000000,9860.000000,9860.000000,0.000040,997650
2006-03-16,10000.000000,10160.000000,9940.000000,10120.000000,0.000041,1563900
2006-03-17,10100.000000,10220.000000,9990.000000,10160.000000,0.000041,1970550
2006-03-20,10160.000000,10180.000000,10000.000000,10060.000000,0.000041,900650
2006-03-21,10060.000000,10060.000000,9920.000000,9940.000000,0.000040,1037900
2006-03-22,9940.000000,9940.000000,9540.000000,9630.000000,0.000039,1926650
2006-03-23,9660.000000,9840.000000,9640.000000,9680.000000,0.000039,1320450
2006-03-24,9660.000000,9680.000000,9610.000000,9640.000000,0.000039,2070350
2006-03-27,9530.000000,9760.000000,9530.000000,9700.000000,0.000040,1791400
2006-03-28,9620.000000,9680.000000,9560.000000,9630.000000,0.000039,2230300
2006-03-29,9630.000000,9660.000000,9570.000000,9650.000000,0.000039,836000
2006-03-30,9780.000000,9820.000000,9670.000000,9760.000000,0.000040,1634150
2006-03-31,9750.000000,10000.000000,9750.000000,9950.000000,0.000041,2473300
2006-04-03,9970.000000,10220.000000,9970.000000,10200.000000,0.000042,1159600
2006-04-04,10300.000000,10660.000000,10240.000000,10640.000000,0.000043,4779050
2006-04-05,10300.000000,10660.000000,10240.000000,10640.000000,0.000043,4803050
2006-04-06,10540.000000,10600.000000,10420.000000,10500.000000,0.000043,2629550
2006-04-07,10480.000000,10560.000000,10320.000000,10380.000000,0.000042,1364600
2006-04-10,10340.000000,10340.000000,9990.000000,10140.000000,0.000041,2020800
2006-04-11,10020.000000,10140.000000,10020.000000,10060.000000,0.000041,753450
2006-04-12,10060.000000,10060.000000,9960.000000,9980.000000,0.000041,739700
2006-04-13,9980.000000,10140.000000,9930.000000,9970.000000,0.000041,2244300
2006-04-14,10200.000000,10500.000000,10000.000000,10420.000000,0.000042,3779350
2006-04-17,10460.000000,10480.000000,10320.000000,10400.000000,0.000042,1911150
2006-04-18,10400.000000,10420.000000,10240.000000,10340.000000,0.000042,3946650
2006-04-19,10440.000000,10580.000000,10300.000000,10480.000000,0.000043,5010500
